CSDUID,CSD,Period,IndicatorSummaryDescription,Gender,UnitOfMeasure,OriginalValue
4802006,Warner,1981,Unemployment Rate,Both,,0.00000
4802006,Warner,1986,Unemployment Rate,Both,,0.09100
4802006,Warner,1991,Unemployment Rate,Both,,0.00000
4802006,Warner,1996,Unemployment Rate,Both,,0.00000
4802006,Warner,2001,Unemployment Rate,Both,,0.04500
4802006,Warner,2006,Unemployment Rate,Both,,0.00000
4802006,Warner,2011,Unemployment Rate,Both,,0.00000
4802006,Warner,2016,Unemployment Rate,Both,,0.08600
4802006,Warner,2021,Unemployment Rate,Both,,0.12000
4802006,Warner,1981,Employment Rate,Female,,0.40541
4802006,Warner,1986,Employment Rate,Female,,0.42105
4802006,Warner,1991,Employment Rate,Female,,0.39286
4802006,Warner,1996,Employment Rate,Female,,0.57143
4802006,Warner,2001,Employment Rate,Female,,0.59375
4802006,Warner,2006,Employment Rate,Female,,0.44444
4802006,Warner,2011,Employment Rate,Female,,0.46200
4802006,Warner,2016,Employment Rate,Female,,0.48500
4802006,Warner,2021,Employment Rate,Female,,0.33000
4802006,Warner,1981,Employment Rate,Male,,0.62791
4802006,Warner,1986,Employment Rate,Male,,0.68571
4802006,Warner,1991,Employment Rate,Male,,0.60000
4802006,Warner,1996,Employment Rate,Male,,0.64516
4802006,Warner,2001,Employment Rate,Male,,0.75000
4802006,Warner,2006,Employment Rate,Male,,0.46154
4802006,Warner,2011,Employment Rate,Male,,0.41200
4802006,Warner,2016,Employment Rate,Male,,0.50000
4802006,Warner,2021,Employment Rate,Male,,0.40000
4802006,Warner,1981,Employment Rate,Both,,0.52500
4802006,Warner,1986,Employment Rate,Both,,0.54795
4802006,Warner,1991,Employment Rate,Both,,0.52381
4802006,Warner,1996,Employment Rate,Both,,0.58209
4802006,Warner,2001,Employment Rate,Both,,0.67200
4802006,Warner,2006,Employment Rate,Both,,0.45300
4802006,Warner,2011,Employment Rate,Both,,0.43300
4802006,Warner,2016,Employment Rate,Both,,0.47100
4802006,Warner,2021,Employment Rate,Both,,0.38000
4807048,Hardisty,1981,Participation Rate,Female,,0.43100
4807048,Hardisty,1986,Participation Rate,Female,,0.50900
4807048,Hardisty,1991,Participation Rate,Female,,0.55100
4807048,Hardisty,1996,Participation Rate,Female,,0.64400
4807048,Hardisty,2001,Participation Rate,Female,,0.49200
4807048,Hardisty,2006,Participation Rate,Female,,0.56400
4807048,Hardisty,2011,Participation Rate,Female,,0.53100
4807048,Hardisty,2016,Participation Rate,Female,,0.62700
4807048,Hardisty,2021,Participation Rate,Female,,0.73000
4807048,Hardisty,1981,Participation Rate,Male,,0.80000
4807048,Hardisty,1986,Participation Rate,Male,,0.86500
4807048,Hardisty,1991,Participation Rate,Male,,0.88700
4807048,Hardisty,1996,Participation Rate,Male,,0.85500
4807048,Hardisty,2001,Participation Rate,Male,,0.69100
4807048,Hardisty,2006,Participation Rate,Male,,0.78600
4807048,Hardisty,2011,Participation Rate,Male,,0.83300
4807048,Hardisty,2016,Participation Rate,Male,,0.83700
4807048,Hardisty,2021,Participation Rate,Male,,0.72000
4807048,Hardisty,1981,Participation Rate,Both,,0.60674
4807048,Hardisty,1986,Participation Rate,Both,,0.67300
4807048,Hardisty,1991,Participation Rate,Both,,0.73300
4807048,Hardisty,1996,Participation Rate,Both,,0.74600
4807048,Hardisty,2001,Participation Rate,Both,,0.60200
4807048,Hardisty,2006,Participation Rate,Both,,0.67000
4807048,Hardisty,2011,Participation Rate,Both,,0.67000
4807048,Hardisty,2016,Participation Rate,Both,,0.74000
4807048,Hardisty,2021,Participation Rate,Both,,0.73000
4807048,Hardisty,1981,Unemployment Rate,Female,,0.00000
4807048,Hardisty,1986,Unemployment Rate,Female,,0.17200
4807048,Hardisty,1991,Unemployment Rate,Female,,0.07400
4807048,Hardisty,1996,Unemployment Rate,Female,,0.13200
4807048,Hardisty,2001,Unemployment Rate,Female,,0.00000
4807048,Hardisty,2006,Unemployment Rate,Female,,0.06500
4807048,Hardisty,2011,Unemployment Rate,Female,,0.00000
4807048,Hardisty,2016,Unemployment Rate,Female,,0.06200
4807048,Hardisty,2021,Unemployment Rate,Female,,0.17000
4807048,Hardisty,1981,Unemployment Rate,Male,,0.06100
4807048,Hardisty,1986,Unemployment Rate,Male,,0.02200
4807048,Hardisty,1991,Unemployment Rate,Male,,0.08500
4807048,Hardisty,1996,Unemployment Rate,Male,,0.09400
4807048,Hardisty,2001,Unemployment Rate,Male,,0.07900
4807048,Hardisty,2006,Unemployment Rate,Male,,0.00000
4807048,Hardisty,2011,Unemployment Rate,Male,,0.00000
4807048,Hardisty,2016,Unemployment Rate,Male,,0.14600
4807048,Hardisty,2021,Unemployment Rate,Male,,0.06000
4807048,Hardisty,1981,Unemployment Rate,Both,,0.07407
4807048,Hardisty,1986,Unemployment Rate,Both,,0.08100
4807048,Hardisty,1991,Unemployment Rate,Both,,0.06800
4807048,Hardisty,1996,Unemployment Rate,Both,,0.11000
4807048,Hardisty,2001,Unemployment Rate,Both,,0.04400
4807048,Hardisty,2006,Unemployment Rate,Both,,0.04000
4807048,Hardisty,2011,Unemployment Rate,Both,,0.00000
4807048,Hardisty,2016,Unemployment Rate,Both,,0.10800
4807048,Hardisty,2021,Unemployment Rate,Both,,0.10000
4807048,Hardisty,1981,Employment Rate,Female,,0.42000
4807048,Hardisty,1986,Employment Rate,Female,,0.42105
4807048,Hardisty,1991,Employment Rate,Female,,0.53061
4807048,Hardisty,1996,Employment Rate,Female,,0.57627
4807048,Hardisty,2001,Employment Rate,Female,,0.49153
4807048,Hardisty,2006,Employment Rate,Female,,0.52727
4807048,Hardisty,2011,Employment Rate,Female,,0.53100
4807048,Hardisty,2016,Employment Rate,Female,,0.58800
4807048,Hardisty,2021,Employment Rate,Female,,0.63000
4807048,Hardisty,1981,Employment Rate,Male,,0.82051
4807048,Hardisty,1986,Employment Rate,Male,,0.84615
4807048,Hardisty,1991,Employment Rate,Male,,0.81132
4807048,Hardisty,1996,Employment Rate,Male,,0.75806
4807048,Hardisty,2001,Employment Rate,Male,,0.63636
4807048,Hardisty,2006,Employment Rate,Male,,0.76786
4807048,Hardisty,2011,Employment Rate,Male,,0.85700
4807048,Hardisty,2016,Employment Rate,Male,,0.71400
4807048,Hardisty,2021,Employment Rate,Male,,0.67000
4807048,Hardisty,1981,Employment Rate,Both,,0.59551
4807048,Hardisty,1986,Employment Rate,Both,,0.62385
4807048,Hardisty,1991,Employment Rate,Both,,0.68317
4807048,Hardisty,1996,Employment Rate,Both,,0.66393
4807048,Hardisty,2001,Employment Rate,Both,,0.56600
4807048,Hardisty,2006,Employment Rate,Both,,0.65200
4807048,Hardisty,2011,Employment Rate,Both,,0.68100
4807048,Hardisty,2016,Employment Rate,Both,,0.65000
4807048,Hardisty,2021,Employment Rate,Both,,0.64000
4807049,Wainwright No. 61,1981,Participation Rate,Female,,0.43200
4807049,Wainwright No. 61,1986,Participation Rate,Female,,0.61100
4807049,Wainwright No. 61,1991,Participation Rate,Female,,0.80500
4807049,Wainwright No. 61,1996,Participation Rate,Female,,0.76400
4807049,Wainwright No. 61,2001,Participation Rate,Female,,0.70500
4807049,Wainwright No. 61,2006,Participation Rate,Female,,0.69800
4807049,Wainwright No. 61,2011,Participation Rate,Female,,0.77900
4807049,Wainwright No. 61,2016,Participation Rate,Female,,0.70400
4807049,Wainwright No. 61,2021,Participation Rate,Female,,0.75000
4807049,Wainwright No. 61,1981,Participation Rate,Male,,0.90100
4807049,Wainwright No. 61,1986,Participation Rate,Male,,0.90000
4807049,Wainwright No. 61,1991,Participation Rate,Male,,0.91500
4807049,Wainwright No. 61,1996,Participation Rate,Male,,0.87800
4807049,Wainwright No. 61,2001,Participation Rate,Male,,0.85300
4807049,Wainwright No. 61,2006,Participation Rate,Male,,0.87100
4807049,Wainwright No. 61,2011,Participation Rate,Male,,0.89500
4807049,Wainwright No. 61,2016,Participation Rate,Male,,0.82600
4807049,Wainwright No. 61,2021,Participation Rate,Male,,0.83000
4807049,Wainwright No. 61,1981,Participation Rate,Both,,0.69675
4807049,Wainwright No. 61,1986,Participation Rate,Both,,0.76500
4807049,Wainwright No. 61,1991,Participation Rate,Both,,0.86500
4807049,Wainwright No. 61,1996,Participation Rate,Both,,0.82600
4807049,Wainwright No. 61,2001,Participation Rate,Both,,0.79100
4807049,Wainwright No. 61,2006,Participation Rate,Both,,0.79000
4807049,Wainwright No. 61,2011,Participation Rate,Both,,0.83900
4807049,Wainwright No. 61,2016,Participation Rate,Both,,0.76800
4807049,Wainwright No. 61,2021,Participation Rate,Both,,0.79000
4807049,Wainwright No. 61,1981,Unemployment Rate,Female,,0.04800
4807049,Wainwright No. 61,1986,Unemployment Rate,Female,,0.06400
4807049,Wainwright No. 61,1991,Unemployment Rate,Female,,0.09200
4807049,Wainwright No. 61,1996,Unemployment Rate,Female,,0.05200
4807049,Wainwright No. 61,2001,Unemployment Rate,Female,,0.00000
4807049,Wainwright No. 61,2006,Unemployment Rate,Female,,0.03300
4807049,Wainwright No. 61,2011,Unemployment Rate,Female,,0.03200
4807049,Wainwright No. 61,2016,Unemployment Rate,Female,,0.01900
4807049,Wainwright No. 61,2021,Unemployment Rate,Female,,0.06000
4807049,Wainwright No. 61,1981,Unemployment Rate,Male,,0.01400
4807049,Wainwright No. 61,1986,Unemployment Rate,Male,,0.02500
4807049,Wainwright No. 61,1991,Unemployment Rate,Male,,0.01800
4807049,Wainwright No. 61,1996,Unemployment Rate,Male,,0.01100
4807049,Wainwright No. 61,2001,Unemployment Rate,Male,,0.00600
4807049,Wainwright No. 61,2006,Unemployment Rate,Male,,0.02000
4807049,Wainwright No. 61,2011,Unemployment Rate,Male,,0.01700
4807049,Wainwright No. 61,2016,Unemployment Rate,Male,,0.04600
4807049,Wainwright No. 61,2021,Unemployment Rate,Male,,0.05000
4807049,Wainwright No. 61,1981,Unemployment Rate,Both,,0.02073
4807049,Wainwright No. 61,1986,Unemployment Rate,Both,,0.03700
4807049,Wainwright No. 61,1991,Unemployment Rate,Both,,0.04700
4807049,Wainwright No. 61,1996,Unemployment Rate,Both,,0.02900
4807049,Wainwright No. 61,2001,Unemployment Rate,Both,,0.00800
4807049,Wainwright No. 61,2006,Unemployment Rate,Both,,0.02500
4807049,Wainwright No. 61,2011,Unemployment Rate,Both,,0.02200
4807049,Wainwright No. 61,2016,Unemployment Rate,Both,,0.03400
4807049,Wainwright No. 61,2021,Unemployment Rate,Both,,0.06000
4807049,Wainwright No. 61,1981,Employment Rate,Female,,0.41250
4807049,Wainwright No. 61,1986,Employment Rate,Female,,0.57198
4807049,Wainwright No. 61,1991,Employment Rate,Female,,0.73541
4807049,Wainwright No. 61,1996,Employment Rate,Female,,0.72364
4807049,Wainwright No. 61,2001,Employment Rate,Female,,0.70144
4807049,Wainwright No. 61,2006,Employment Rate,Female,,0.67557
4807049,Wainwright No. 61,2011,Employment Rate,Female,,0.75800
4807049,Wainwright No. 61,2016,Employment Rate,Female,,0.69400
4807049,Wainwright No. 61,2021,Employment Rate,Female,,0.70000
4807049,Wainwright No. 61,1981,Employment Rate,Male,,0.88854
4807049,Wainwright No. 61,1986,Employment Rate,Male,,0.87379
4807049,Wainwright No. 61,1991,Employment Rate,Male,,0.90164
4807049,Wainwright No. 61,1996,Employment Rate,Male,,0.86817
4807049,Wainwright No. 61,2001,Employment Rate,Male,,0.84718
4807049,Wainwright No. 61,2006,Employment Rate,Male,,0.85374
4807049,Wainwright No. 61,2011,Employment Rate,Male,,0.88700
4807049,Wainwright No. 61,2016,Employment Rate,Male,,0.78500
4807049,Wainwright No. 61,2021,Employment Rate,Male,,0.79000
4807049,Wainwright No. 61,1981,Employment Rate,Both,,0.68231
4807049,Wainwright No. 61,1986,Employment Rate,Both,,0.73675
4807049,Wainwright No. 61,1991,Employment Rate,Both,,0.82416
4807049,Wainwright No. 61,1996,Employment Rate,Both,,0.80171
4807049,Wainwright No. 61,2001,Employment Rate,Both,,0.78500
4807049,Wainwright No. 61,2006,Employment Rate,Both,,0.77000
4807049,Wainwright No. 61,2011,Employment Rate,Both,,0.82300
4807049,Wainwright No. 61,2016,Employment Rate,Both,,0.74200
4807049,Wainwright No. 61,2021,Employment Rate,Both,,0.75000
4807051,Chauvin,1981,Participation Rate,Female,,0.22700
4807051,Chauvin,1986,Participation Rate,Female,,0.66700
4807051,Chauvin,1991,Participation Rate,Female,,0.44400
4807051,Chauvin,1996,Participation Rate,Female,,0.53300
4807051,Chauvin,2001,Participation Rate,Female,,0.48100
4807051,Chauvin,2006,Participation Rate,Female,,0.57100
4807051,Chauvin,2011,Participation Rate,Female,,0.73700
4807051,Chauvin,2016,Participation Rate,Female,,0.62500
4807051,Chauvin,2021,Participation Rate,Female,,0.48000
4807051,Chauvin,1981,Participation Rate,Male,,0.78600
4807051,Chauvin,1986,Participation Rate,Male,,0.80600
4807051,Chauvin,1991,Participation Rate,Male,,0.73300
4807051,Chauvin,1996,Participation Rate,Male,,0.77400
4807051,Chauvin,2001,Participation Rate,Male,,0.71000
4807051,Chauvin,2006,Participation Rate,Male,,0.78600
4807051,Chauvin,2011,Participation Rate,Male,,0.71400
4807051,Chauvin,2016,Participation Rate,Male,,0.83300
4807051,Chauvin,2021,Participation Rate,Male,,0.69000
4807051,Chauvin,1981,Participation Rate,Both,,0.54000
4807051,Chauvin,1986,Participation Rate,Both,,0.74500
4807051,Chauvin,1991,Participation Rate,Both,,0.59600
4807051,Chauvin,1996,Participation Rate,Both,,0.63900
4807051,Chauvin,2001,Participation Rate,Both,,0.61400
4807051,Chauvin,2006,Participation Rate,Both,,0.71400
4807051,Chauvin,2011,Participation Rate,Both,,0.74500
4807051,Chauvin,2016,Participation Rate,Both,,0.72200
4807051,Chauvin,2021,Participation Rate,Both,,0.59000
4807051,Chauvin,1981,Unemployment Rate,Female,,0.40000
4807051,Chauvin,1986,Unemployment Rate,Female,,0.06300
4807051,Chauvin,1991,Unemployment Rate,Female,,0.25000
4807051,Chauvin,1996,Unemployment Rate,Female,,0.18800
4807051,Chauvin,2001,Unemployment Rate,Female,,0.00000
4807051,Chauvin,2006,Unemployment Rate,Female,,0.00000
4807051,Chauvin,2011,Unemployment Rate,Female,,0.00000
4807051,Chauvin,2016,Unemployment Rate,Female,,0.00000
4807051,Chauvin,2021,Unemployment Rate,Female,,0.00000
4807051,Chauvin,1981,Unemployment Rate,Male,,0.00000
4807051,Chauvin,1986,Unemployment Rate,Male,,0.04000
4807051,Chauvin,1991,Unemployment Rate,Male,,0.13600
4807051,Chauvin,1996,Unemployment Rate,Male,,0.00000
4807051,Chauvin,2001,Unemployment Rate,Male,,0.00000
4807051,Chauvin,2006,Unemployment Rate,Male,,0.00000
4807051,Chauvin,2011,Unemployment Rate,Male,,0.00000
4807051,Chauvin,2016,Unemployment Rate,Male,,0.08000
4807051,Chauvin,2021,Unemployment Rate,Male,,0.10000
4807051,Chauvin,1981,Unemployment Rate,Both,,0.14815
4807051,Chauvin,1986,Unemployment Rate,Both,,0.07300
4807051,Chauvin,1991,Unemployment Rate,Both,,0.17600
4807051,Chauvin,1996,Unemployment Rate,Both,,0.05100
4807051,Chauvin,2001,Unemployment Rate,Both,,0.00000
4807051,Chauvin,2006,Unemployment Rate,Both,,0.00000
4807051,Chauvin,2011,Unemployment Rate,Both,,0.00000
4807051,Chauvin,2016,Unemployment Rate,Both,,0.05100
4807051,Chauvin,2021,Unemployment Rate,Both,,0.06000
4807051,Chauvin,1981,Employment Rate,Female,,0.18182
4807051,Chauvin,1986,Employment Rate,Female,,0.62500
4807051,Chauvin,1991,Employment Rate,Female,,0.33333
4807051,Chauvin,1996,Employment Rate,Female,,0.46667
4807051,Chauvin,2001,Employment Rate,Female,,0.48148
4807051,Chauvin,2006,Employment Rate,Female,,0.57143
4807051,Chauvin,2011,Employment Rate,Female,,0.78900
4807051,Chauvin,2016,Employment Rate,Female,,0.58300
4807051,Chauvin,2021,Employment Rate,Female,,0.44000
4807051,Chauvin,1981,Employment Rate,Male,,0.75000
4807051,Chauvin,1986,Employment Rate,Male,,0.77419
4807051,Chauvin,1991,Employment Rate,Male,,0.63333
4807051,Chauvin,1996,Employment Rate,Male,,0.77419
4807051,Chauvin,2001,Employment Rate,Male,,0.67742
4807051,Chauvin,2006,Employment Rate,Male,,0.78571
4807051,Chauvin,2011,Employment Rate,Male,,0.67900
4807051,Chauvin,2016,Employment Rate,Male,,0.73300
4807051,Chauvin,2021,Employment Rate,Male,,0.62000
4807051,Chauvin,1981,Employment Rate,Both,,0.50000
4807051,Chauvin,1986,Employment Rate,Both,,0.70909
4807051,Chauvin,1991,Employment Rate,Both,,0.49123
4807051,Chauvin,1996,Employment Rate,Both,,0.62295
4807051,Chauvin,2001,Employment Rate,Both,,0.61400
4807051,Chauvin,2006,Employment Rate,Both,,0.71400
4807051,Chauvin,2011,Employment Rate,Both,,0.70200
4807051,Chauvin,2016,Employment Rate,Both,,0.68500
4807051,Chauvin,2021,Employment Rate,Both,,0.55000
4807052,Edgerton,1981,Participation Rate,Female,,0.53100
4807052,Edgerton,1986,Participation Rate,Female,,0.76500
4807052,Edgerton,1991,Participation Rate,Female,,0.52000
4807052,Edgerton,1996,Participation Rate,Female,,0.46400
4807052,Edgerton,2001,Participation Rate,Female,,0.67700
4807052,Edgerton,2006,Participation Rate,Female,,0.63300
4807052,Edgerton,2011,Participation Rate,Female,,0.78600
4807052,Edgerton,2016,Participation Rate,Female,,0.66700
4807052,Edgerton,2021,Participation Rate,Female,,0.61000
4807052,Edgerton,1981,Participation Rate,Male,,0.74200
4807052,Edgerton,1986,Participation Rate,Male,,0.86200
4807052,Edgerton,1991,Participation Rate,Male,,0.66700
4807052,Edgerton,1996,Participation Rate,Male,,0.70800
4807052,Edgerton,2001,Participation Rate,Male,,0.82400
4807052,Edgerton,2006,Participation Rate,Male,,0.80000
4807052,Edgerton,2011,Participation Rate,Male,,0.94700
4807052,Edgerton,2016,Participation Rate,Male,,0.84400
4807052,Edgerton,2021,Participation Rate,Male,,0.65000
4807052,Edgerton,1981,Participation Rate,Both,,0.62903
4807052,Edgerton,1986,Participation Rate,Both,,0.79400
4807052,Edgerton,1991,Participation Rate,Both,,0.59200
4807052,Edgerton,1996,Participation Rate,Both,,0.56600
4807052,Edgerton,2001,Participation Rate,Both,,0.76900
4807052,Edgerton,2006,Participation Rate,Both,,0.73300
4807052,Edgerton,2011,Participation Rate,Both,,0.85200
4807052,Edgerton,2016,Participation Rate,Both,,0.75000
4807052,Edgerton,2021,Participation Rate,Both,,0.63000
4807052,Edgerton,1981,Unemployment Rate,Female,,0.11800
4807052,Edgerton,1986,Unemployment Rate,Female,,0.00000
4807052,Edgerton,1991,Unemployment Rate,Female,,0.00000
4807052,Edgerton,1996,Unemployment Rate,Female,,0.00000
4807052,Edgerton,2001,Unemployment Rate,Female,,0.00000
4807052,Edgerton,2006,Unemployment Rate,Female,,0.00000
4807052,Edgerton,2011,Unemployment Rate,Female,,0.00000
4807052,Edgerton,2016,Unemployment Rate,Female,,0.00000
4807052,Edgerton,2021,Unemployment Rate,Female,,0.10000
4807052,Edgerton,1981,Unemployment Rate,Male,,0.00000
4807052,Edgerton,1986,Unemployment Rate,Male,,0.00000
4807052,Edgerton,1991,Unemployment Rate,Male,,0.12500
4807052,Edgerton,1996,Unemployment Rate,Male,,0.00000
4807052,Edgerton,2001,Unemployment Rate,Male,,0.10700
4807052,Edgerton,2006,Unemployment Rate,Male,,0.00000
4807052,Edgerton,2011,Unemployment Rate,Male,,0.00000
4807052,Edgerton,2016,Unemployment Rate,Male,,0.07400
4807052,Edgerton,2021,Unemployment Rate,Male,,0.00000
4807052,Edgerton,1981,Unemployment Rate,Both,,0.00000
4807052,Edgerton,1986,Unemployment Rate,Both,,0.00000
4807052,Edgerton,1991,Unemployment Rate,Both,,0.00000
4807052,Edgerton,1996,Unemployment Rate,Both,,0.00000
4807052,Edgerton,2001,Unemployment Rate,Both,,0.06000
4807052,Edgerton,2006,Unemployment Rate,Both,,0.04500
4807052,Edgerton,2011,Unemployment Rate,Both,,0.00000
4807052,Edgerton,2016,Unemployment Rate,Both,,0.04200
4807052,Edgerton,2021,Unemployment Rate,Both,,0.08000
4807052,Edgerton,1981,Employment Rate,Female,,0.51613
4807052,Edgerton,1986,Employment Rate,Female,,0.73529
4807052,Edgerton,1991,Employment Rate,Female,,0.56000
4807052,Edgerton,1996,Employment Rate,Female,,0.42857
4807052,Edgerton,2001,Employment Rate,Female,,0.70968
4807052,Edgerton,2006,Employment Rate,Female,,0.60000
4807052,Edgerton,2011,Employment Rate,Female,,0.78600
4807052,Edgerton,2016,Employment Rate,Female,,0.66700
4807052,Edgerton,2021,Employment Rate,Female,,0.55000
4807052,Edgerton,1981,Employment Rate,Male,,0.70968
4807052,Edgerton,1986,Employment Rate,Male,,0.82759
4807052,Edgerton,1991,Employment Rate,Male,,0.58333
4807052,Edgerton,1996,Employment Rate,Male,,0.70833
4807052,Edgerton,2001,Employment Rate,Male,,0.73529
4807052,Edgerton,2006,Employment Rate,Male,,0.76667
4807052,Edgerton,2011,Employment Rate,Male,,0.94700
4807052,Edgerton,2016,Employment Rate,Male,,0.78100
4807052,Edgerton,2021,Employment Rate,Male,,0.69000
4807052,Edgerton,1981,Employment Rate,Both,,0.61290
4807052,Edgerton,1986,Employment Rate,Both,,0.77778
4807052,Edgerton,1991,Employment Rate,Both,,0.57143
4807052,Edgerton,1996,Employment Rate,Both,,0.52830
4807052,Edgerton,2001,Employment Rate,Both,,0.70800
4807052,Edgerton,2006,Employment Rate,Both,,0.70000
4807052,Edgerton,2011,Employment Rate,Both,,0.83600
4807052,Edgerton,2016,Employment Rate,Both,,0.71900
4807052,Edgerton,2021,Employment Rate,Both,,0.58000
4807054,Wainwright,1981,Participation Rate,Female,,0.50000
4807054,Wainwright,1986,Participation Rate,Female,,0.56600
4807054,Wainwright,1991,Participation Rate,Female,,0.60500
4807054,Wainwright,1996,Participation Rate,Female,,0.63500
4807054,Wainwright,2001,Participation Rate,Female,,0.59800
4807054,Wainwright,2006,Participation Rate,Female,,0.67700
4807054,Wainwright,2011,Participation Rate,Female,,0.71100
4807054,Wainwright,2016,Participation Rate,Female,,0.68500
4807054,Wainwright,2021,Participation Rate,Female,,0.68000
4807054,Wainwright,1981,Participation Rate,Male,,0.78900
4807054,Wainwright,1986,Participation Rate,Male,,0.82200
4807054,Wainwright,1991,Participation Rate,Male,,0.79400
4807054,Wainwright,1996,Participation Rate,Male,,0.75700
4807054,Wainwright,2001,Participation Rate,Male,,0.74700
4807054,Wainwright,2006,Participation Rate,Male,,0.78900
4807054,Wainwright,2011,Participation Rate,Male,,0.80600
4807054,Wainwright,2016,Participation Rate,Male,,0.80000
4807054,Wainwright,2021,Participation Rate,Male,,0.75000
4807054,Wainwright,1981,Participation Rate,Both,,0.64715
4807054,Wainwright,1986,Participation Rate,Both,,0.69400
4807054,Wainwright,1991,Participation Rate,Both,,0.69700
4807054,Wainwright,1996,Participation Rate,Both,,0.69500
4807054,Wainwright,2001,Participation Rate,Both,,0.66900
4807054,Wainwright,2006,Participation Rate,Both,,0.73200
4807054,Wainwright,2011,Participation Rate,Both,,0.76000
4807054,Wainwright,2016,Participation Rate,Both,,0.74400
4807054,Wainwright,2021,Participation Rate,Both,,0.71000
4807054,Wainwright,1981,Unemployment Rate,Female,,0.01900
4807054,Wainwright,1986,Unemployment Rate,Female,,0.07100
4807054,Wainwright,1991,Unemployment Rate,Female,,0.07900
4807054,Wainwright,1996,Unemployment Rate,Female,,0.06700
4807054,Wainwright,2001,Unemployment Rate,Female,,0.05400
4807054,Wainwright,2006,Unemployment Rate,Female,,0.04200
4807054,Wainwright,2011,Unemployment Rate,Female,,0.08800
4807054,Wainwright,2016,Unemployment Rate,Female,,0.05500
4807054,Wainwright,2021,Unemployment Rate,Female,,0.07000
4807054,Wainwright,1981,Unemployment Rate,Male,,0.05700
4807054,Wainwright,1986,Unemployment Rate,Male,,0.05700
4807054,Wainwright,1991,Unemployment Rate,Male,,0.04700
4807054,Wainwright,1996,Unemployment Rate,Male,,0.03200
4807054,Wainwright,2001,Unemployment Rate,Male,,0.02500
4807054,Wainwright,2006,Unemployment Rate,Male,,0.06200
4807054,Wainwright,2011,Unemployment Rate,Male,,0.02300
4807054,Wainwright,2016,Unemployment Rate,Male,,0.07700
4807054,Wainwright,2021,Unemployment Rate,Male,,0.09000
4807054,Wainwright,1981,Unemployment Rate,Both,,0.04286
4807054,Wainwright,1986,Unemployment Rate,Both,,0.06300
4807054,Wainwright,1991,Unemployment Rate,Both,,0.06200
4807054,Wainwright,1996,Unemployment Rate,Both,,0.04900
4807054,Wainwright,2001,Unemployment Rate,Both,,0.03900
4807054,Wainwright,2006,Unemployment Rate,Both,,0.05200
4807054,Wainwright,2011,Unemployment Rate,Both,,0.05300
4807054,Wainwright,2016,Unemployment Rate,Both,,0.06500
4807054,Wainwright,2021,Unemployment Rate,Both,,0.08000
4807054,Wainwright,1981,Employment Rate,Female,,0.49057
4807054,Wainwright,1986,Employment Rate,Female,,0.52601
4807054,Wainwright,1991,Employment Rate,Female,,0.55367
4807054,Wainwright,1996,Employment Rate,Female,,0.58942
4807054,Wainwright,2001,Employment Rate,Female,,0.56576
4807054,Wainwright,2006,Employment Rate,Female,,0.64858
4807054,Wainwright,2011,Employment Rate,Female,,0.64900
4807054,Wainwright,2016,Employment Rate,Female,,0.64800
4807054,Wainwright,2021,Employment Rate,Female,,0.63000
4807054,Wainwright,1981,Employment Rate,Male,,0.74622
4807054,Wainwright,1986,Employment Rate,Male,,0.77485
4807054,Wainwright,1991,Employment Rate,Male,,0.75652
4807054,Wainwright,1996,Employment Rate,Male,,0.73585
4807054,Wainwright,2001,Employment Rate,Male,,0.73046
4807054,Wainwright,2006,Employment Rate,Male,,0.74029
4807054,Wainwright,2011,Employment Rate,Male,,0.78800
4807054,Wainwright,2016,Employment Rate,Male,,0.74100
4807054,Wainwright,2021,Employment Rate,Male,,0.68000
4807054,Wainwright,1981,Employment Rate,Both,,0.62096
4807054,Wainwright,1986,Employment Rate,Both,,0.64971
4807054,Wainwright,1991,Employment Rate,Both,,0.65522
4807054,Wainwright,1996,Employment Rate,Both,,0.66102
4807054,Wainwright,2001,Employment Rate,Both,,0.64300
4807054,Wainwright,2006,Employment Rate,Both,,0.69400
4807054,Wainwright,2011,Employment Rate,Both,,0.71900
4807054,Wainwright,2016,Employment Rate,Both,,0.69600
4807054,Wainwright,2021,Employment Rate,Both,,0.66000
4807056,Irma,1981,Participation Rate,Female,,0.35000
4807056,Irma,1986,Participation Rate,Female,,0.45700
4807056,Irma,1991,Participation Rate,Female,,0.42500
4807056,Irma,1996,Participation Rate,Female,,0.52600
4807056,Irma,2001,Participation Rate,Female,,0.48500
4807056,Irma,2006,Participation Rate,Female,,0.67600
4807056,Irma,2011,Participation Rate,Female,,0.81400
4807056,Irma,2016,Participation Rate,Female,,0.55300
4807056,Irma,2021,Participation Rate,Female,,0.63000
4807056,Irma,1981,Participation Rate,Male,,0.61800
4807056,Irma,1986,Participation Rate,Male,,0.84200
4807056,Irma,1991,Participation Rate,Male,,0.61800
4807056,Irma,1996,Participation Rate,Male,,0.81100
4807056,Irma,2001,Participation Rate,Male,,0.87900
4807056,Irma,2006,Participation Rate,Male,,0.81600
4807056,Irma,2011,Participation Rate,Male,,0.84800
4807056,Irma,2016,Participation Rate,Male,,0.72900
4807056,Irma,2021,Participation Rate,Male,,0.72000
4807056,Irma,1981,Participation Rate,Both,,0.49315
4807056,Irma,1986,Participation Rate,Both,,0.64900
4807056,Irma,1991,Participation Rate,Both,,0.51400
4807056,Irma,1996,Participation Rate,Both,,0.66700
4807056,Irma,2001,Participation Rate,Both,,0.69700
